Location,Pool ID,Type,Sample Type,Date,Date Classification,Specific Date Classification,Order,Family,Genus,Species,Code,Notes, , , , , , , , , , , , , , , , , , 
ncos,4,Created,FB250,30-Jan-19,EARLY,EARLY 1,Copepod,Cyclopidae,,,CYU7,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Copepod,Cyclopidae,,,CYU8,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Copepod,Calanoida,Diaptomidae,,DIU4,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Cyclopidae,,,CYU9,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Calanoida,Diaptomidae,,DIU5,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Cyclopidae,,,CYU10,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Calanoida,Diaptomidae,,DIU6,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Cyclopidae,,,CYU11,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Calanoida,Diaptomidae,,DIU7,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Copepod,Cyclopidae,,,CYU12,,,,,,,,,,,,,,,,,,,
more_mesa,Main,Enhanced/Natural,FB250,7-Mar-19,EARLY,EARLY 2,Copepod,Calanoida,Diaptomidae,,DIU8,,,,,,,,,,,,,,,,,,,
more_mesa,Main,Enhanced/Natural,FB250,7-Mar-19,EARLY,EARLY 2,Copepod,Cyclopidae,,,CYU13,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Copepod,Calanoida,Diaptomidae,,DIU9,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Copepod,Cyclopidae,,,CYU14,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Copepod,Cyclopidae,,,CYU15,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Copepod,Calanoida,Diaptomidae,,DIU10,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Copepod,Cyclopidae,,,CYU16,,,,,,,,,,,,,,,,,,,
camino_corto,7,Created,FB250,15-Apr-19,LATE,LATE 1,Copepod,Cyclopidae,,,CYU17,,,,,,,,,,,,,,,,,,,
camino_corto,7,Created,FB250,15-Apr-19,LATE,LATE 1,Copepod,Calanoida,Diaptomidae,,DIU11,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Copepod,Cyclopidae,,,CYU18,,,,,,,,,,,,,,,,,,,
ncos,4,Created,SW1,1-May-19,LATE,LATE 2,Copepod,Calanoida,Diaptomidae,,DIU12,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Copepod,Cyclopidae,,,CYU19,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Copepod,Calanoida,Diaptomidae,,DIU13,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Copepod,Calanoida,Diaptomidae,,DIU14,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,1-May-19,LATE,LATE 2,Ostracod,Ilyocyprididae,,,ILU1,,,,,,,,,,,,,,,,,,,
del_sol,N,Enhanced/Natural,FB250,27-Jan-19,EARLY,EARLY 1,Ostracod,Triangle,White,,TRWH1,,,,,,,,,,,,,,,,,,,
del_sol,N,Enhanced/Natural,FB250,27-Jan-19,EARLY,EARLY 1,Ostracod,Bean,White,,BEWH1,,,,,,,,,,,,,,,,,,,
del_sol,N,Enhanced/Natural,FB250,27-Jan-19,EARLY,EARLY 1,Ostracod,Bean,Green,,BEGR1,,,,,,,,,,,,,,,,,,,
wcb,6,Created,FB250,27-Jan-19,EARLY,EARLY 1,Ostracod,Triangle,Green,,TRGR1,,,,,,,,,,,,,,,,,,,
wcb,6,Created,FB250,27-Jan-19,EARLY,EARLY 1,Ostracod,Bean,White,,BEWH2,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,28-Jan-19,EARLY,EARLY 1,Ostracod,,Triangle,White,TRWH2,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,28-Jan-19,EARLY,EARLY 1,Ostracod,,Bean,Green,BEGR2,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,28-Jan-19,EARLY,EARLY 1,Ostracod,,Bean,White,BEWH3,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,30-Jan-19,EARLY,EARLY 1,Ostracod,,Bean,Green,BEGR3,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,30-Jan-19,EARLY,EARLY 1,Ostracod,,Bean,White,BEWH4,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Ostracod,,Rectangular,White,REWH1,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CPU1,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Ostracod,,Bean,Green,BEGR4,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Ostracod,,Bean,White,BEWH5,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Cyprettinae?,Green,CPCY,,,,,,,,,,,,,,,,,,,
ncos,2,Created,FB250,7-Feb-19,EARLY,EARLY 1,Ostracod,,Long,White,LOWH1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Cyprettinae?,Green,CPCY,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CPBW1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Long,Purple,CYLP1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,Green,CYBG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Ostracod,,Triangle,Green,TRGR2,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Feb-19,EARLY,EARLY 1,Ostracod,,Bean,Clear,BECL1,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Heterocypridinae?,Purplish,CPHP1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,Green,CYBG2,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,Green,CYBG3,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW2,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Triangle,White,CYTW1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,,Bean,Grean,BEGR4,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,,Bean,Green,BEGR5,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,Green,CYBG4,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Triangle,Green,CYTG1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW3,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Triangle,Green,CYTG2,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW4,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Long,White,CYLW1,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW5,,,,,,,,,,,,,,,,,,,
north_parcel,14,Created,FB250,11-Feb-19,EARLY,EARLY 1,Ostracod,Cyprididae,Isosceles,Green,CYIG1,,,,,,,,,,,,,,,,,,,
more_mesa,Main,Enhanced/Natural,FB250,7-Mar-19,EARLY,EARLY 2,Ostracod,,Bean,Brown,BEBR1,,,,,,,,,,,,,,,,,,,
more_mesa,Main,Enhanced/Natural,FB250,7-Mar-19,EARLY,EARLY 2,Ostracod,,Bean,White,BEWH5,,,,,,,,,,,,,,,,,,,
more_mesa,Main,Enhanced/Natural,FB250,7-Mar-19,EARLY,EARLY 2,Ostracod,,Bean,Beige,BEBE1,,,,,,,,,,,,,,,,,,,
more_mesa,Main,Enhanced/Natural,FB250,7-Mar-19,EARLY,EARLY 2,Ostracod,,Triangle,White,TRWH3,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Bean,White,CYBW6,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Bean,Light Green,CYBLG1,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Ostracod,,Bean,White,BEWH6,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Ostracod,,triangle,green,TRGR3,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Ostracod,,bean ,green,BEGR6,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,FB250,13-Mar-19,EARLY,EARLY 2,Ostracod,,bean,striped green,BESG1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Bean,Translucent,CYBT1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,bean ,white/green,CYBWG1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Bean,Sage,CYBS1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,Cyprididae,Cyprettinae?,Green,CYCP,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,,Triangle,Emerald Green,TREG1,,,,,,,,,,,,,,,,,,,
ncos,4,Created,FB250,14-Mar-19,EARLY,EARLY 2,Ostracod,,Bean,Light Green,BELG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,,Bean,Translucent Green,BETG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Triangle,Light Green,TRLG1,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,White,CYBW7,,,,,,,,,,,,,,,,,,,
south_parcel,6,Created,FB250,8-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Cyprettinae?,Green,CYCP,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Ostracod,,Small Bean,Green,SBGR1,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Ostracod,,Bean,Shiny White,BESW1,,,,,,,,,,,,,,,,,,,
camino_corto,7,Enhanced/Natural,FB250,10-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Triangle,Green,TRGR4,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Ilocyprididae?,,,ILU2,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,emerald Green,CYBEG1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,Green,CYBG5,,,,,,,,,,,,,,,,,,,
manzanita,Santa Catalina,Created,FB250,15-Apr-19,LATE,LATE 1,Ostracod,Cyprididae,Bean,Sage,CYBS2,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Cyprettinae?,,CYCP,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Cyprettinae?,Tan,CYCPT,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Long ,White,CYLW2,,,,,,,,,,,,,,,,,,,
ncos,4,Created,CORE,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,Green,CYBG6,,,,,,,,,,,,,,,,,,,
ncos,4,Created,SW1,1-May-19,LATE,LATE 2,Ostracod,Cyprididae,Long,White,CYLW3,,,,,,,,,,,,,,,,,,,
ncos,4,Created,SW1,1-May-19,LATE,LATE 2,Ostracod,,Bean,Green,BEGR7,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,White,CYBW8,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Fat Bean ,White,CYFBW1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,White Green,CYBWG2,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Bean,Green,CYBG7,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,,Semicircle,Bluegreen,SCBG1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae?,Bean,Beige,CYBB1,,,,,,,,,,,,,,,,,,,
manzanita,Santa Rosa,Created,FB250,2-May-19,LATE,LATE 2,Ostracod,Cyprididae,Triangle,Green,CYTG2,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW9,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,White,CYBW10,,,,,,,,,,,,,,,,,,,
copr,VP1,Created,SW1,28-Jan-19,EARLY,EARLY 1,Ostracod,Cyprididae,Bean,Green,CYBG8,,,,,,,,,,,,,,,,,,,